id,ms,date,puzzle,scramble,plus2,dnf
DG1x5FA5R,23251,2020-11-10T21:41:27.348Z,3x3x3,"R D2 B2 L' D2 L' B2 R' B2 D2 R' F L2 R F U' L F' R' D' F'",,
E2saBJsQB,26159,2020-11-10T21:45:32.417Z,3x3x3,"L2 B2 D2 R2 D' F2 U' F2 L2 U F' D2 U' F2 R F U' R F2",,
yaf849LI3,25334,2020-11-10T21:46:30.582Z,3x3x3,"F2 R F2 L' F2 D2 L' B2 U2 B2 R2 D U2 L2 B' L U2 B F U",,
W7H1USOEI,23411,2020-11-10T21:47:26.934Z,3x3x3,"R F2 L B2 L2 U2 L U2 B2 R2 U2 B R U' L2 F2 D' R' D L2 U2",,
FE-0AOWsp,20325,2020-11-10T21:48:14.555Z,3x3x3,"B D2 F L2 D2 F' R2 F L2 U2 B R' B' D F' L2 R2 F2 L B U2",,
UuamZSShd,27422,2020-11-10T21:49:14.934Z,3x3x3,"B2 L R' F2 D2 L' U2 R U2 B' U' L2 F' R2 D2 U' B2 R D B",,
KTuJltUVY,23015,2020-11-10T21:51:29.548Z,3x3x3,"D B2 D U L2 B2 L2 D F2 D B D2 U B' D' L B R' B D' F",,
zhvUmApuk,22195,2020-11-10T21:54:00.077Z,3x3x3,"U2 F2 L2 B' L2 B D2 U2 L2 B' L D B2 F2 U2 B' L' F U F2",,
t2onrhuuf,20356,2020-11-10T21:54:40.575Z,3x3x3,"L2 B2 D' L2 R2 D' F2 D L2 U2 F2 R B' D' B L D B2 U L",,
y-3-v37Xf,17002,2020-11-10T21:55:35.307Z,3x3x3,"R2 F U2 R2 F2 D2 F' L2 R' F2 D' L' R D B U' R'",,
SVItTt5yQ,20564,2020-11-10T21:56:20.386Z,3x3x3,"U' R' F D B' D' R L' B U F2 R2 D' R2 B2 D' L2 F2 U' L2",,
sudMcDHIN,18717,2020-11-10T21:59:03.730Z,3x3x3,"U2 F U B R' U L' F D F U D B2 R2 D' L2 U2 D' R2 U F2",,
C4Gbuj622,16151,2020-11-10T22:00:04.614Z,3x3x3,"D' L2 U' F2 U2 B2 F2 L2 B2 U2 L2 B' D' F U' R' B2 F' L2 D U'",,
9EyaSk1m5,22170,2020-11-10T22:01:01.249Z,3x3x3,"B2 D L D2 L' B D F R L' F2 D' L2 F2 D' L2 U' F2 D' F2 U2",,
OcJeVcTC6,23242,2020-11-10T22:03:05.254Z,3x3x3,"U2 B' F' R2 B U2 F' L2 D2 R2 F L' F' L' D' F R' F2 U L F2",,
Mt4r319Zw,20919,2020-11-11T14:20:31.583Z,3x3x3,"U2 B L2 D2 F2 L2 U2 R2 D2 B F R B' F2 D2 R U' F L' F2 D",,
RG3x1YOfW,20342,2020-11-11T14:21:18.439Z,3x3x3,"L2 R2 U2 L2 D R2 U' B2 U L2 U F' L' U B' L' D L R2 D2 R'",,
8IfVDSiPv,24136,2020-11-11T14:22:08.082Z,3x3x3,"B2 L2 U2 F D2 R2 D2 F2 L' D2 U2 R' B2 U' R2 U2 B'",,
fJ9n9z8Lz,30267,2020-11-11T14:23:05.038Z,3x3x3,"U F2 U B2 U F2 U' F2 R2 F R' B' D B2 L B D2 F' L2",,
FV1TCkLMQ,20971,2020-11-11T14:23:54.844Z,3x3x3,"U2 R' D2 R U2 B2 L D2 R B2 L2 U' B2 L D R B D B2 D",,
Zr31pxcQh,22190,2020-11-11T14:24:42.371Z,3x3x3,"R2 F2 D L2 D L F' R2 U' F U2 R F2 R U2 L' B2 R F2 L' U2",,
6Dd5EbV2d,17654,2020-11-11T14:25:35.831Z,3x3x3,"B2 U2 L U2 R U2 R' B2 R D2 R2 B F2 R2 D' F' U2 R' B'",,
v1UuZQBn3,23104,2020-11-11T14:27:49.302Z,3x3x3,"R2 F2 R2 F' U2 B' F2 U2 L2 R2 F' U' L' D F R' U2 B' R F",,
d-6JsfZEj,17569,2020-11-11T14:28:34.760Z,3x3x3,"D2 F2 U2 B' U2 R2 U2 F' R2 F R2 D' L R F' R D B' D F U'",,
yvZ65L09d,20913,2020-11-11T14:29:27.189Z,3x3x3,"F R2 U2 F' U2 B U2 L2 R2 B' L' B' F D L' R U F2 R2 U2",,
cNZC0-22-,19221,2020-11-11T14:30:24.706Z,3x3x3,"L U2 R' D2 R' B2 R' B2 F2 U2 R' D R F2 D R F R D2 B L2",,
VJkmXn4I7,22400,2020-11-11T14:32:15.638Z,3x3x3,"U' B2 D' F2 D' L2 U' B2 L2 D2 L2 F' L' R B' U' B2 D U' B' F2",,
sfUS9aebv,21225,2020-11-11T14:32:59.590Z,3x3x3,"U F' L B2 R2 D F R' B' R' U F2 D' B2 D' F2 L2 D' F2 U2 L2",,
PMC8abL55,20493,2020-11-11T17:38:02.126Z,3x3x3,"D' L2 R2 U' B2 U2 R2 U' R2 D R2 B' R2 B' L D B D' L F2 R'",,
XWnzKh73K,24393,2020-11-11T17:38:55.570Z,3x3x3,"F R2 D2 R2 B F2 D2 B' U2 L2 U2 L' D L' F U2 R D U R U'",,
